Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
Behcet Syndrome,"Colchicine (0.6 mg twice daily), prednisone (20 mg daily).","Clinical criteria (recurrent ulcers), HLAB51, biopsy.","Mouth ulcers, genital sores, uveitis, skin lesions.","[{'text': 'Behcet Syndrome', 'label': 'ENTITY', 'umls_cui': 'C0004943', 'umls_score': 0.9400883316993713}]","[{'text': 'Colchicine', 'label': 'ENTITY', 'umls_cui': 'C0009262', 'umls_score': 0.9530901908874512}, {'text': 'prednisone', 'label': 'ENTITY', 'umls_cui': 'C0032952', 'umls_score': 0.954511821269989}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Clinical criteria', 'label': 'ENTITY'}, {'text': 'recurrent ulcers', 'label': 'ENTITY', 'umls_cui': 'C2937365', 'umls_score': 0.8511384725570679}, {'text': 'HLAB51', 'label': 'ENTITY'}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}]","[{'text': 'Mouth ulcers', 'label': 'ENTITY', 'umls_cui': 'C0149745', 'umls_score': 0.9853102564811707}, {'text': 'genital sores', 'label': 'ENTITY', 'umls_cui': 'C0017420', 'umls_score': 0.7541475892066956}, {'text': 'uveitis', 'label': 'ENTITY', 'umls_cui': 'C0042164', 'umls_score': 0.9526368379592896}, {'text': 'skin lesions', 'label': 'ENTITY', 'umls_cui': 'C0037284', 'umls_score': 0.9796654582023621}]"
Spinal Stenosis,"Pregabalin (75 mg twice daily), physical therapy, laminectomy.","MRI (canal narrowing), Xray, physical exam.","Back pain, leg numbness, weakness, claudication.","[{'text': 'Spinal Stenosis', 'label': 'ENTITY', 'umls_cui': 'C0037944', 'umls_score': 0.9832098484039307}]","[{'text': 'Pregabalin', 'label': 'ENTITY', 'umls_cui': 'C0657912', 'umls_score': 0.9587262272834778}, {'text': 'physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}, {'text': 'laminectomy', 'label': 'ENTITY', 'umls_cui': 'C0022983', 'umls_score': 0.9878867268562317}]","[{'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'canal narrowing', 'label': 'ENTITY', 'umls_cui': 'C1851612', 'umls_score': 0.7944686412811279}, {'text': 'Xray', 'label': 'ENTITY', 'umls_cui': 'C0043299', 'umls_score': 0.9730836153030396}, {'text': 'physical exam', 'label': 'ENTITY', 'umls_cui': 'C0031809', 'umls_score': 0.9741718769073486}]","[{'text': 'Back pain', 'label': 'ENTITY', 'umls_cui': 'C0004604', 'umls_score': 0.9769834280014038}, {'text': 'leg numbness', 'label': 'ENTITY', 'umls_cui': 'C0857160', 'umls_score': 0.9568665027618408}, {'text': 'weakness', 'label': 'ENTITY', 'umls_cui': 'C0004093', 'umls_score': 0.9751015901565552}, {'text': 'claudication', 'label': 'ENTITY', 'umls_cui': 'C0021775', 'umls_score': 0.9516739249229431}]"
Chromomycosis (Variation of Chromoblastomycosis),"Itraconazole (200 mg twice daily), cryotherapy, excision.","Skin biopsy (sclerotic bodies), fungal culture.","Warty skin lesions, itching, slow growth, scarring.","[{'text': 'Chromomycosis', 'label': 'ENTITY', 'umls_cui': 'C0008582', 'umls_score': 0.9810678362846375}, {'text': 'Variation', 'label': 'ENTITY', 'umls_cui': 'C0205419', 'umls_score': 0.9683742523193359}, {'text': 'Chromoblastomycosis', 'label': 'ENTITY', 'umls_cui': 'C0008582', 'umls_score': 0.9863182306289673}]","[{'text': 'Itraconazole', 'label': 'ENTITY', 'umls_cui': 'C0064113', 'umls_score': 0.9736788272857666}, {'text': 'cryotherapy', 'label': 'ENTITY', 'umls_cui': 'C4551716', 'umls_score': 0.9792137742042542}, {'text': 'excision', 'label': 'ENTITY', 'umls_cui': 'C0015252', 'umls_score': 0.9683559536933899}]","[{'text': 'Skin biopsy', 'label': 'ENTITY', 'umls_cui': 'C0150866', 'umls_score': 0.9735589623451233}, {'text': 'sclerotic bodies', 'label': 'ENTITY', 'umls_cui': 'C1842154', 'umls_score': 0.7805872559547424}, {'text': 'fungal culture', 'label': 'ENTITY', 'umls_cui': 'C0010453', 'umls_score': 0.7163089513778687}]","[{'text': 'Warty', 'label': 'ENTITY', 'umls_cui': 'C5206637', 'umls_score': 0.7565149068832397}, {'text': 'skin lesions', 'label': 'ENTITY', 'umls_cui': 'C0037284', 'umls_score': 0.9796654582023621}, {'text': 'itching', 'label': 'ENTITY', 'umls_cui': 'C0033774', 'umls_score': 0.9587393403053284}, {'text': 'slow growth', 'label': 'ENTITY', 'umls_cui': 'C4086857', 'umls_score': 0.9064728021621704}, {'text': 'scarring', 'label': 'ENTITY', 'umls_cui': 'C0008767', 'umls_score': 0.9771115183830261}]"
Chronic Pericarditis,"Colchicine (0.5 mg twice daily), ibuprofen (600 mg), pericardiectomy.","Echo (effusion), CT/MRI (thickening), ESR.","Chest pain, fatigue, pericardial rub, fever.","[{'text': 'Chronic Pericarditis', 'label': 'ENTITY', 'umls_cui': 'C0265143', 'umls_score': 0.9859678745269775}]","[{'text': 'Colchicine', 'label': 'ENTITY', 'umls_cui': 'C0009262', 'umls_score': 0.9530901908874512}, {'text': 'ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}, {'text': 'pericardiectomy', 'label': 'ENTITY', 'umls_cui': 'C0031042', 'umls_score': 0.9683524966239929}]","[{'text': 'Echo', 'label': 'ENTITY', 'umls_cui': 'C0058928', 'umls_score': 0.9836705923080444}, {'text': 'effusion', 'label': 'ENTITY', 'umls_cui': 'C0013687', 'umls_score': 0.9521716833114624}, {'text': 'CT/MRI', 'label': 'ENTITY'}, {'text': 'thickening', 'label': 'ENTITY', 'umls_cui': 'C0205400', 'umls_score': 0.9699850678443909}, {'text': 'ESR', 'label': 'ENTITY', 'umls_cui': 'C0013845', 'umls_score': 0.9790200591087341}]","[{'text': 'Chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'pericardial rub', 'label': 'ENTITY', 'umls_cui': 'C0232267', 'umls_score': 0.9526981115341187}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}]"
Biliary Fistula,"Surgery (fistula closure), antibiotics (ceftriaxone 1 g IV).","ERCP (fistula tract), CT abdomen, cholangiogram.","Abdominal pain, bile leakage, fever, jaundice.","[{'text': 'Biliary Fistula', 'label': 'ENTITY', 'umls_cui': 'C0005417', 'umls_score': 0.9829082489013672}]","[{'text': 'Surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'fistula closure', 'label': 'ENTITY', 'umls_cui': 'C0441508', 'umls_score': 0.9818772077560425}, {'text': 'antibiotics', 'label': 'ENTITY', 'umls_cui': 'C0003232', 'umls_score': 0.9689207077026367}, {'text': 'ceftriaxone', 'label': 'ENTITY', 'umls_cui': 'C0007561', 'umls_score': 0.9359742999076843}]","[{'text': 'ERCP', 'label': 'ENTITY', 'umls_cui': 'C0008310', 'umls_score': 0.9536738395690918}, {'text': 'fistula tract', 'label': 'ENTITY', 'umls_cui': 'C0281857', 'umls_score': 0.8138214349746704}, {'text': 'CT', 'label': 'ENTITY', 'umls_cui': 'C0009778', 'umls_score': 0.9904136657714844}, {'text': 'abdomen', 'label': 'ENTITY', 'umls_cui': 'C0000726', 'umls_score': 0.9808932542800903}, {'text': 'cholangiogram', 'label': 'ENTITY', 'umls_cui': 'C0008307', 'umls_score': 0.9931605458259583}]","[{'text': 'Abdominal pain', 'label': 'ENTITY', 'umls_cui': 'C0000737', 'umls_score': 0.970135509967804}, {'text': 'bile leakage', 'label': 'ENTITY', 'umls_cui': 'C0400997', 'umls_score': 0.9560490250587463}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'jaundice', 'label': 'ENTITY', 'umls_cui': 'C0022346', 'umls_score': 0.947461724281311}]"
Aortic Stenosis (Entry 2),"TAVR, metoprolol (50 mg daily), diuretics (furosemide 20 mg).","Echo (valve area <1 cm²), cardiac cath.","Dyspnea, angina, syncope, heart murmur.","[{'text': 'Aortic Stenosis', 'label': 'ENTITY', 'umls_cui': 'C0003507', 'umls_score': 0.9759315848350525}]","[{'text': 'TAVR', 'label': 'ENTITY'}, {'text': 'metoprolol', 'label': 'ENTITY', 'umls_cui': 'C0025859', 'umls_score': 0.9727950692176819}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'diuretics', 'label': 'ENTITY', 'umls_cui': 'C0012798', 'umls_score': 0.9681576490402222}, {'text': 'furosemide', 'label': 'ENTITY', 'umls_cui': 'C0016860', 'umls_score': 0.9867109060287476}]","[{'text': 'Echo', 'label': 'ENTITY', 'umls_cui': 'C0058928', 'umls_score': 0.9836705923080444}, {'text': 'cardiac cath', 'label': 'ENTITY', 'umls_cui': 'C0179724', 'umls_score': 0.8160629868507385}]","[{'text': 'Dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'angina', 'label': 'ENTITY', 'umls_cui': 'C0002962', 'umls_score': 0.9822253584861755}, {'text': 'syncope', 'label': 'ENTITY', 'umls_cui': 'C0039070', 'umls_score': 0.9831191897392273}, {'text': 'heart murmur', 'label': 'ENTITY', 'umls_cui': 'C0018808', 'umls_score': 0.9799702763557434}]"
Castleman Disease,"Siltuximab (11 mg/kg IV every 3 weeks), prednisone (40 mg daily).","Lymph node biopsy, CT/PET, IL6 levels.","Enlarged lymph nodes, fever, fatigue, weight loss.","[{'text': 'Castleman Disease', 'label': 'ENTITY', 'umls_cui': 'C0017531', 'umls_score': 0.9705098867416382}]","[{'text': 'Siltuximab', 'label': 'ENTITY', 'umls_cui': 'C1609931', 'umls_score': 0.9843853116035461}, {'text': 'weeks', 'label': 'ENTITY', 'umls_cui': 'C0439230', 'umls_score': 0.9958744645118713}, {'text': 'prednisone', 'label': 'ENTITY', 'umls_cui': 'C0032952', 'umls_score': 0.954511821269989}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Lymph node biopsy', 'label': 'ENTITY', 'umls_cui': 'C0193842', 'umls_score': 0.9825567603111267}, {'text': 'CT/PET', 'label': 'ENTITY', 'umls_cui': 'C1139717', 'umls_score': 0.7704963684082031}, {'text': 'IL6', 'label': 'ENTITY', 'umls_cui': 'C0021760', 'umls_score': 0.9773805737495422}, {'text': 'levels', 'label': 'ENTITY', 'umls_cui': 'C0441889', 'umls_score': 0.9882259964942932}]","[{'text': 'Enlarged', 'label': 'ENTITY', 'umls_cui': 'C0442800', 'umls_score': 0.9600385427474976}, {'text': 'lymph nodes', 'label': 'ENTITY', 'umls_cui': 'C0024204', 'umls_score': 0.9857650399208069}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}]"
Erythema Multiforme,"Prednisone (40 mg daily), antihistamines, treat trigger (e.g., HSV).","Clinical exam, biopsy (interface dermatitis), rule out SJS.","Target lesions, rash, itching, mucosal involvement.","[{'text': 'Erythema Multiforme', 'label': 'ENTITY', 'umls_cui': 'C0014742', 'umls_score': 0.9915122985839844}]","[{'text': 'Prednisone', 'label': 'ENTITY', 'umls_cui': 'C0032952', 'umls_score': 0.954511821269989}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'antihistamines', 'label': 'ENTITY', 'umls_cui': 'C0019590', 'umls_score': 0.9344625473022461}, {'text': 'treat trigger', 'label': 'ENTITY', 'umls_cui': 'C5205908', 'umls_score': 0.7911499738693237}, {'text': 'HSV', 'label': 'ENTITY', 'umls_cui': 'C0019348', 'umls_score': 0.9954912066459656}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'interface dermatitis', 'label': 'ENTITY', 'umls_cui': 'C0262981', 'umls_score': 0.9798469543457031}, {'text': 'SJS', 'label': 'ENTITY', 'umls_cui': 'C0036391', 'umls_score': 0.9917497038841248}]","[{'text': 'Target', 'label': 'ENTITY', 'umls_cui': 'C1521840', 'umls_score': 0.9916039109230042}, {'text': 'lesions', 'label': 'ENTITY', 'umls_cui': 'C0221198', 'umls_score': 0.9854557514190674}, {'text': 'rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.9840058088302612}, {'text': 'itching', 'label': 'ENTITY', 'umls_cui': 'C0033774', 'umls_score': 0.9587393403053284}, {'text': 'mucosal', 'label': 'ENTITY', 'umls_cui': 'C0026724', 'umls_score': 0.9772624373435974}, {'text': 'involvement', 'label': 'ENTITY', 'umls_cui': 'C1314939', 'umls_score': 0.9601795673370361}]"
Herpes Zoster Meningitis (Entry 2),"Acyclovir (10 mg/kg IV every 8 hours), gabapentin (300 mg).","CSF PCR (VZV), clinical zoster history, MRI.","Fever, rash, severe headache, confusion.","[{'text': 'Herpes Zoster Meningitis', 'label': 'ENTITY', 'umls_cui': 'C0700503', 'umls_score': 0.9603108167648315}, {'text': 'Entry 2', 'label': 'ENTITY', 'umls_cui': 'C1550548', 'umls_score': 0.8928224444389343}]","[{'text': 'Acyclovir', 'label': 'ENTITY', 'umls_cui': 'C0001367', 'umls_score': 0.986030638217926}, {'text': 'hours', 'label': 'ENTITY', 'umls_cui': 'C0439227', 'umls_score': 0.9980335831642151}, {'text': 'gabapentin', 'label': 'ENTITY', 'umls_cui': 'C0060926', 'umls_score': 0.9444852471351624}]","[{'text': 'CSF PCR', 'label': 'ENTITY', 'umls_cui': 'C0007806', 'umls_score': 0.7062695622444153}, {'text': 'VZV', 'label': 'ENTITY', 'umls_cui': 'C0042338', 'umls_score': 0.9999778866767883}, {'text': 'clinical zoster history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.83192378282547}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.9840058088302612}, {'text': 'severe', 'label': 'ENTITY', 'umls_cui': 'C0205082', 'umls_score': 0.981156051158905}, {'text': 'headache', 'label': 'ENTITY', 'umls_cui': 'C0018681', 'umls_score': 0.9900735020637512}, {'text': 'confusion', 'label': 'ENTITY', 'umls_cui': 'C0009676', 'umls_score': 0.9526641964912415}]"
Klinefelter Syndrome (Entry 2),"Testosterone (1% gel 50 mg daily), fertility counseling.","Chromosomal analysis (47,XXY), low testosterone.","Infertility, small testes, breast enlargement, tall stature.","[{'text': 'Klinefelter Syndrome', 'label': 'ENTITY', 'umls_cui': 'C0022735', 'umls_score': 0.955469012260437}, {'text': 'Entry 2', 'label': 'ENTITY', 'umls_cui': 'C1550548', 'umls_score': 0.8928224444389343}]","[{'text': 'Testosterone', 'label': 'ENTITY', 'umls_cui': 'C0039601', 'umls_score': 0.9883452653884888}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'fertility counseling', 'label': 'ENTITY', 'umls_cui': 'C5400764', 'umls_score': 0.9887266755104065}]","[{'text': 'Chromosomal analysis', 'label': 'ENTITY', 'umls_cui': 'C0853259', 'umls_score': 0.9829772710800171}, {'text': '47,XXY', 'label': 'ENTITY', 'umls_cui': 'C5447437', 'umls_score': 0.986725926399231}, {'text': 'low testosterone', 'label': 'ENTITY', 'umls_cui': 'C1295654', 'umls_score': 0.9878352284431458}]","[{'text': 'Infertility', 'label': 'ENTITY', 'umls_cui': 'C0021359', 'umls_score': 0.9897329807281494}, {'text': 'small testes', 'label': 'ENTITY', 'umls_cui': 'C0241355', 'umls_score': 0.9926905035972595}, {'text': 'breast enlargement', 'label': 'ENTITY', 'umls_cui': 'C0020565', 'umls_score': 0.9642650485038757}, {'text': 'tall stature', 'label': 'ENTITY', 'umls_cui': 'C0241240', 'umls_score': 0.9969270825386047}]"
Mycoplasma Pneumonia (Entry 1),"Azithromycin (500 mg day 1, 250 mg days 25), rest.","Chest Xray (patchy infiltrates), Mycoplasma IgM, PCR.","Dry cough, fever, fatigue, sore throat.","[{'text': 'Mycoplasma Pneumonia', 'label': 'ENTITY', 'umls_cui': 'C0032302', 'umls_score': 0.9879187345504761}]","[{'text': 'Azithromycin', 'label': 'ENTITY', 'umls_cui': 'C0052796', 'umls_score': 0.9585456252098083}, {'text': 'day', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9967988729476929}, {'text': 'days', 'label': 'ENTITY', 'umls_cui': 'C0439228', 'umls_score': 0.996391773223877}, {'text': 'rest', 'label': 'ENTITY', 'umls_cui': 'C0035253', 'umls_score': 0.9951050877571106}]","[{'text': 'Chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}, {'text': 'patchy infiltrates', 'label': 'ENTITY', 'umls_cui': 'C0332448', 'umls_score': 0.7714297771453857}, {'text': 'Mycoplasma IgM', 'label': 'ENTITY', 'umls_cui': 'C0026934', 'umls_score': 0.8720126152038574}, {'text': 'PCR', 'label': 'ENTITY', 'umls_cui': 'C0032520', 'umls_score': 0.9947255253791809}]","[{'text': 'Dry cough', 'label': 'ENTITY', 'umls_cui': 'C0850149', 'umls_score': 0.9643693566322327}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'sore throat', 'label': 'ENTITY', 'umls_cui': 'C0031350', 'umls_score': 0.9937487840652466}]"
Dercum Syndrome,"Pain management (gabapentin 300 mg), surgery (lipoma removal).","Clinical exam (lipomas), rule out other causes, biopsy.","Painful fatty lumps, fatigue, weight gain.",[],"[{'text': 'Pain management', 'label': 'ENTITY', 'umls_cui': 'C0002766', 'umls_score': 0.9764907360076904}, {'text': 'gabapentin', 'label': 'ENTITY', 'umls_cui': 'C0060926', 'umls_score': 0.9444852471351624}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'lipoma', 'label': 'ENTITY', 'umls_cui': 'C0023798', 'umls_score': 0.9820898175239563}, {'text': 'removal', 'label': 'ENTITY', 'umls_cui': 'C0015252', 'umls_score': 0.9724442362785339}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'lipomas', 'label': 'ENTITY', 'umls_cui': 'C0023798', 'umls_score': 0.9860998392105103}, {'text': 'causes', 'label': 'ENTITY', 'umls_cui': 'C0015127', 'umls_score': 0.9782052636146545}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}]","[{'text': 'Painful fatty lumps', 'label': 'ENTITY'}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'weight gain', 'label': 'ENTITY', 'umls_cui': 'C0043094', 'umls_score': 0.9628818035125732}]"
Chorioblastoma (Choriocarcinoma),"Methotrexate (1 mg/kg IM), surgery, chemo (EMACO).","hCG (>100,000 IU/L), biopsy, CT (metastases).","Vaginal bleeding, pelvic pain, high hCG, lung mets.","[{'text': 'Chorioblastoma', 'label': 'ENTITY', 'umls_cui': 'C0008497', 'umls_score': 0.9805432558059692}, {'text': 'Choriocarcinoma', 'label': 'ENTITY', 'umls_cui': 'C0008497', 'umls_score': 0.9918999671936035}]","[{'text': 'Methotrexate', 'label': 'ENTITY', 'umls_cui': 'C0025677', 'umls_score': 0.9724632501602173}, {'text': 'IM', 'label': 'ENTITY', 'umls_cui': 'C0231377', 'umls_score': 0.9843143224716187}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'chemo', 'label': 'ENTITY', 'umls_cui': 'C0392920', 'umls_score': 0.9692176580429077}, {'text': 'EMACO', 'label': 'ENTITY'}]","[{'text': 'hCG', 'label': 'ENTITY', 'umls_cui': 'C1141639', 'umls_score': 0.991184413433075}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'CT', 'label': 'ENTITY', 'umls_cui': 'C0009778', 'umls_score': 0.9904136657714844}, {'text': 'metastases', 'label': 'ENTITY', 'umls_cui': 'C0027627', 'umls_score': 0.9838703274726868}]","[{'text': 'Vaginal bleeding', 'label': 'ENTITY', 'umls_cui': 'C2979982', 'umls_score': 0.966633677482605}, {'text': 'pelvic pain', 'label': 'ENTITY', 'umls_cui': 'C0030794', 'umls_score': 0.9685612916946411}, {'text': 'hCG', 'label': 'ENTITY', 'umls_cui': 'C1141639', 'umls_score': 0.991184413433075}, {'text': 'lung mets', 'label': 'ENTITY'}]"
Cervical Dysplasia,"LEEP, cryotherapy, monitor if lowgrade.","Pap smear (CIN 13), colposcopy, HPV test.","Often asymptomatic, abnormal bleeding if advanced.","[{'text': 'Cervical Dysplasia', 'label': 'ENTITY', 'umls_cui': 'C0007868', 'umls_score': 0.9710603952407837}]","[{'text': 'LEEP', 'label': 'ENTITY', 'umls_cui': 'C0184930', 'umls_score': 0.9766647219657898}, {'text': 'cryotherapy', 'label': 'ENTITY', 'umls_cui': 'C4551716', 'umls_score': 0.9792137742042542}]","[{'text': 'Pap smear', 'label': 'ENTITY', 'umls_cui': 'C0079104', 'umls_score': 0.9828847646713257}, {'text': 'CIN', 'label': 'ENTITY', 'umls_cui': 'C0206708', 'umls_score': 0.9733836054801941}, {'text': 'colposcopy', 'label': 'ENTITY', 'umls_cui': 'C0009417', 'umls_score': 0.9643532633781433}, {'text': 'HPV test', 'label': 'ENTITY', 'umls_cui': 'C1654909', 'umls_score': 0.9500322341918945}]","[{'text': 'Often', 'label': 'ENTITY', 'umls_cui': 'C0332183', 'umls_score': 0.9524219632148743}, {'text': 'asymptomatic', 'label': 'ENTITY', 'umls_cui': 'C0231221', 'umls_score': 0.9688202142715454}, {'text': 'abnormal bleeding', 'label': 'ENTITY', 'umls_cui': 'C1458140', 'umls_score': 0.9711512923240662}]"
